WO-MRR NUM,IS REWORK,PROD_CDE,HOURS BLAST TO PREP,PREP DAY,PREP SHIFT,PREP H,PREP QTY,PREP ASSOCIATE,PREP QTY IN THE SHIFT,PREPED IN THE SHIFT SO FAR,HOURS PREP TO FUR,FURN,HAS SCRAP AT SINTER,ASSOCIATE AXPERIENCE,Prep week,Has MRR
9663999-,0,DX_EP_OP10,96,6,2,7,10,152868303,34,12,48,FURN0004,0,1,53,1
9664004-,0,DX_EP_OP10,24,7,2,8,12,152868303,22,10,48,FURN0004,1,2,2,0
9664525-,0,PIN_GRIP_P,120,5,2,6,10,152054287,90,40,96,FURN0007,0,2,1,0
9664565-,0,PINN_PORO,48,4,1,15,10,152061442,131,41,96,FURN0004,0,2,1,0
9664567-,0,PINN_PORO,120,5,1,17,10,152061442,93,63,24,FURN0006,0,2,1,0
9664576-,0,PINN_PORO,24,6,2,3,10,152859275,60,10,72,FURN0006,1,0,1,0
9664726-,0,PIN_GRIP_P,120,1,2,1,10,152051910,100,10,0,FURN0007,1,2,1,0
9664752-,0,PIN_GRIP_P,456,4,1,16,10,152827348,110,40,24,FURN0007,0,2,1,0
9664805-,0,PINN_PORO,72,2,2,1,10,152834263,107,10,0,FURN0006,0,2,1,0
9664841-,0,PINN_PORO,144,1,2,6,10,152059403,70,0,72,FURN0006,1,2,1,0
9664844-,0,PINN_PORO,312,1,2,6,10,152834263,99,50,72,FURN0006,1,2,1,0
9664854-,0,PINN_PORO,1560,3,1,13,10,152061442,132,2,288,FURN0006,0,3,9,0
9664859-,0,PINN_PORO,1440,5,1,21,10,152867385,72,52,384,FURN0006,0,2,8,0
9664863-,0,PINN_PORO,360,2,2,11,10,152059403,24,14,96,FURN0006,1,2,2,0
9664864-,0,PINN_PORO,24,2,1,22,10,152072888,102,82,24,FURN0006,0,2,10,0
9664874-,0,PINN_PORO,96,4,2,12,10,152834263,110,0,72,FURN0006,1,2,1,0
9667209-,0,GU_AN10_B,408,1,2,11,17,152852517,44,27,24,FURN0004,1,2,1,0
9667806-,0,PIN_GRIP_P,624,5,1,16,10,152824995,70,30,48,FURN0007,0,2,2,0
9667822-,0,PIN_GRIP_P,216,5,2,12,10,152827348,71,2,24,FURN0007,1,2,1,0
9667852-,0,PIN_GRIP_P,96,1,2,2,10,152051910,100,20,0,FURN0007,1,2,1,1
9667889-,0,PINN_PORO,24,2,2,3,10,152061442,131,31,0,FURN0006,0,2,1,0
9667895-,0,PINN_PORO,0,1,1,20,10,152061442,121,81,24,FURN0006,0,2,3,0
9667903-,0,PINN_PORO,360,7,2,4,10,152859275,70,20,0,FURN0006,1,1,2,0
9667906-,0,PINN_PORO,624,5,1,19,7,152852517,46,19,24,FURN0006,0,2,4,0
9667923-,0,PINN_PORO,288,7,2,8,10,152861369,110,70,0,FURN0006,1,2,1,0
9667959-,0,PINN_PORO,0,6,1,22,10,152861369,126,107,192,FURN0004,0,2,4,1
9667990-,0,PINN_PORO,24,1,2,1,9,152061442,119,10,24,FURN0006,0,2,1,0
9668104-,0,GUIMB_PORO,0,4,1,23,18,152058678,18,0,24,FURN0005,1,1,7,0
9668106-,0,GUIMB_PORO,48,5,2,11,18,152852517,75,50,72,FURN0004,1,2,5,0
9669255-,0,PIN_GRIP_P,528,4,1,23,10,152824995,80,89,24,FURN0007,0,2,2,0
9669368-,0,PIN_GRIP_P,120,2,2,5,10,152054287,100,40,0,FURN0007,0,2,3,0
9669390-,0,PIN_GRIP_P,72,5,1,15,10,152072361,70,20,24,FURN0007,0,2,2,0
9669427-,0,PIN_GRIP_P,360,4,1,19,10,152827348,110,60,24,FURN0007,0,2,1,0
9669433-,0,PIN_GRIP_P,48,1,2,7,10,152827348,100,50,24,FURN0007,1,2,1,0
9669679-,0,GU_AN10_B,216,4,1,23,17,152852517,64,36,24,FURN0006,1,2,1,0
9669686-,0,GU_AN10_B,48,7,2,3,17,152852517,27,0,24,FURN0006,1,2,2,0
9671668-,0,PIN_GRIP_P,24,2,2,6,10,152051910,99,39,0,FURN0007,1,2,1,0
9671671-,0,PIN_GRIP_P,144,2,2,6,10,152827348,115,56,0,FURN0007,0,2,1,1
9671689-,0,PIN_GRIP_P,0,4,1,21,10,152051910,117,86,120,FURN0007,1,2,1,0
9671699-,0,GU_RE_OP10,48,7,2,0,14,152872541,24,0,24,FURN0006,0,2,1,0
9671710-,0,GU_RE_OP10,24,2,2,8,14,152059403,24,0,24,FURN0004,0,2,2,0
9671773-,0,PIN_GRIP_P,0,1,2,7,10,152051910,100,60,24,FURN0007,1,2,1,0
9671774-,0,PIN_GRIP_P,0,5,2,6,10,152051910,109,49,24,FURN0007,0,2,2,1
9671783-,0,PIN_GRIP_P,48,4,2,11,10,152824994,91,71,24,FURN0007,0,2,1,0
9671794-,0,PIN_GRIP_P,144,5,2,2,10,152848438,97,10,24,FURN0007,0,2,3,0
9671797-,0,PIN_GRIP_P,120,5,2,5,9,152848438,97,30,48,FURN0007,0,2,3,0
9671801-,0,PIN_GRIP_P,0,2,1,22,10,152072361,99,79,24,FURN0007,0,2,1,0
9671803-,0,PIN_GRIP_P,24,2,1,18,10,152072361,99,49,24,FURN0007,0,2,1,0
9671820-,0,PIN_GRIP_P,24,3,1,21,10,152072361,100,70,24,FURN0007,0,2,1,0
9671827-,0,PIN_GRIP_P,24,7,1,14,10,152848254,69,19,24,FURN0007,0,2,2,0
9671828-,0,PIN_GRIP_P,96,3,2,12,10,152051910,111,0,24,FURN0007,1,2,3,0
9671833-,0,PIN_GRIP_P,72,2,1,13,10,152051910,52,0,24,FURN0007,1,2,3,1
9671837-,0,PIN_GRIP_P,24,6,2,0,10,152824994,60,0,0,FURN0007,0,2,2,0
9671854-,0,PIN_GRIP_P,24,7,2,3,10,152051910,70,30,0,FURN0007,1,2,2,0
9671855-,0,PIN_GRIP_P,24,2,2,5,10,152051910,99,29,24,FURN0007,1,2,1,0
9671857-,0,PIN_GRIP_P,96,1,2,6,10,152051910,100,50,24,FURN0007,1,2,1,1
9671858-,0,PIN_GRIP_P,384,4,2,6,10,152072361,120,70,0,FURN0007,1,2,6,0
9671883-,0,PIN_GRIP_P,48,4,1,18,10,152051910,117,50,48,FURN0007,0,2,1,1
9671889-,0,PIN_GRIP_P,24,1,1,22,10,152827348,112,80,24,FURN0007,0,2,3,0
9671890-,0,PIN_GRIP_P,48,1,2,8,10,152065732,60,50,0,FURN0007,1,2,3,0
9671891-,0,PIN_GRIP_P,24,2,2,7,10,152051910,99,49,0,FURN0007,1,2,1,0
9671892-,0,PIN_GRIP_P,0,1,1,20,10,152827348,112,60,48,FURN0007,1,2,3,1
9671900-,0,PIN_GRIP_P,48,1,1,22,10,152051910,113,80,24,FURN0007,1,2,3,0
9671909-,0,PIN_GRIP_P,24,4,2,10,10,152051910,104,95,24,FURN0007,0,2,2,0
9671910-,0,PIN_GRIP_P,24,1,1,21,10,152827348,112,70,24,FURN0007,1,2,3,0
9671912-,0,PIN_GRIP_P,24,4,2,6,10,152827348,95,50,0,FURN0007,0,2,2,0
9671917-,0,PINN_PORO,0,3,2,8,10,152852517,67,0,72,FURN0006,1,2,2,0
9671921-,0,PINN_PORO,24,2,2,2,10,152061442,131,21,24,FURN0006,0,2,1,0
9671927-,0,PINN_PORO,48,4,1,17,10,152061442,131,61,72,FURN0006,1,2,1,0
9671929-,0,PINN_PORO,72,4,1,23,10,152061442,131,121,24,FURN0006,1,2,1,0
9671935-,0,PINN_PORO,0,3,2,4,10,152834263,110,32,24,FURN0006,1,2,2,0
9671936-,0,PINN_PORO,0,3,2,6,10,152834263,110,52,72,FURN0006,0,2,2,0
9671950-,0,PINN_PORO,288,1,1,17,10,152861369,100,50,120,FURN0004,1,2,5,1
9671951-,0,PINN_PORO,24,4,2,1,10,57000763,100,0,0,FURN0004,0,2,3,0
9671968-,0,PINN_PORO,48,4,1,15,10,152834263,110,20,24,FURN0006,1,2,1,1
9671969-,0,PINN_PORO,96,5,1,17,10,57000763,80,60,48,FURN0006,1,2,2,1
9671972-,0,PINN_PORO,0,3,2,10,10,152852517,67,30,120,FURN0006,1,2,2,0
9671975-,0,PINN_PORO,0,2,1,22,10,152861369,92,71,144,FURN0006,0,2,2,1
9672218-,0,SUMMIT_P,,2,2,2,10,152863741,40,0,48,FURN0004,1,1,1,0
9672229-,0,SUMMIT_P,,6,2,8,10,152868301,40,15,48,FURN0004,0,2,53,0
9672230-,0,SUMMIT_P,,3,2,11,10,152806978,23,14,24,FURN0004,0,2,1,0
9672238-,0,SUMMIT_P,,1,2,2,10,152863741,41,0,144,FURN0004,0,1,1,0
9672575-,0,PIN_GRIP_P,24,4,2,8,10,152054287,92,62,24,FURN0007,0,2,1,0
9672577-,0,PIN_GRIP_P,24,4,2,8,10,152848438,80,60,0,FURN0007,0,2,3,0
9672581-,0,PIN_GRIP_P,600,1,2,5,10,152072361,80,20,0,FURN0007,0,2,8,1
9672590-,0,PIN_GRIP_P,24,4,2,5,10,152065732,84,30,48,FURN0007,0,2,1,0
9672594-,0,PIN_GRIP_P,24,3,2,11,10,152065732,46,36,24,FURN0007,0,2,1,0
9672602-,0,PIN_GRIP_P,0,4,1,22,10,152051910,117,99,24,FURN0007,1,2,1,0
9672604-,0,PIN_GRIP_P,0,3,1,13,10,152051910,111,10,24,FURN0007,1,2,3,0
